
Text conversion of header file \h820\optphotolab\Drones\DJI__Mavic_3M\viikki-field_calibration__20240521\sky_irrad\irrad_sky__00073.asd
 -------------------------------------------------------------
                                                                                                                                                            
The instrument number was  18875/1
New ASD spectrum file: Program version = 6.04 file version = 7.00
Spectrum saved: 05/21/2024 at 11:33:07
VNIR integration time : 136
VNIR channel 1 wavelength = 350 wavelength step = 1
There was one sample per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 2.5
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 16 offset was 2051
SWIR2 gain was 16 offset was 2070
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1800 nm
VNIR dark signal subtracted
100 dark measurements taken Tue May 21 11:27:15 2024
DCC value was 0
Data is not compared to a white reference
There was a remote cosine receptor attached
Spectrum file is raw data with embedded reference
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is 00:00:00

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Wavelength	rad_sky-00073.asd
1113	 0.184689718606825 
1114	 0.164698943518745 
1115	 0.149015431856691 
1116	 0.133985031386405 
1117	 0.121160102084313 
1118	 0.111053353971032 
1119	 0.102624533681891 
1120	 9.67892425520218E-02 
1121	 9.17242618440966E-02 
1122	 8.75766164896653E-02 
1123	 8.51852740084176E-02 
1124	 8.32460979555879E-02 
1125	 8.09687577822426E-02 
1126	 8.13890064037043E-02 
1127	 8.35261357852733E-02 
1128	 8.70061664063341E-02 
1129	 0.09656962271061 
1130	 0.100163089725801 
1131	 0.10252879098752 
1132	 0.102698556846228 
1133	 0.098136168249684 
1134	 9.43402858217552E-02 
1135	 9.82446464509157E-02 
1136	 0.106704711323529 
1137	 0.114336980195834 
1138	 0.130735751110708 
1139	 0.136275082682172 
1140	 0.13882262401243 
1141	 0.137253880908476 
1142	 0.127651332208074 
1143	 0.121236770156331 
1144	 0.108429342597328 
1145	 0.103101218615435 
1146	 0.101537170847814 
1147	 0.101483361305539 
1148	 0.106859365534149 
1149	 0.114327018373457 
1150	 0.119393639215612 
1151	 0.124344012217762 
1152	 0.130230230832249 
1153	 0.134772926795291 
1154	 0.141871261365176 
1155	 0.151868644891407 
1156	 0.159689369159307 
1157	 0.168458282780839 
1158	 0.175555997561116 
1159	 0.180969008932824 
1160	 0.186979125758664 
1161	 0.193910117496031 
1162	 0.199016231102564 
1163	 0.203767550698028 
1164	 0.20754554735284 
1165	 0.209888643168594 
1166	 0.208945568297598 
1167	 0.211110164691505 
1168	 0.213866546177332 
1169	 0.216027286332259 
1170	 0.220300225267562 
1171	 0.221315802080405 
1172	 0.219163309842798 
1173	 0.218588936311919 
1174	 0.216467200832862 
1175	 0.215956966449974 
1176	 0.217605735561144 
1177	 0.217766163496054 
1178	 0.217911138027227 
1179	 0.217926471602781 
1180	 0.216443267126555 
1181	 0.212803462799743 
1182	 0.212151707350386 
1183	 0.211691523584876 
1184	 0.211848368314473 
1185	 0.214007786461745 
1186	 0.214938759495685 
1187	 0.214343085955141 
1188	 0.215927942212071 
1189	 0.218919738521113 
1190	 0.221228649559281 
1191	 0.225644563095587 
1192	 0.227433945446726 
1193	 0.227976454185504 
1194	 0.227709221136862 
1195	 0.226460244023434 
1196	 0.223508127870559 
1197	 0.221717119993744 
1198	 0.219240729941654 
1199	 0.218028691781379 
1200	 0.217500663052833 
1201	 0.216876310250692 
1202	 0.21658903524728 
1203	 0.216510013208077 
1204	 0.216007774126099 
1205	 0.216704702672886 
1206	 0.218872892155667 
1207	 0.219952213887346 
1208	 0.221181648891925 
1209	 0.222277512295762 
1210	 0.2223247130679 
1211	 0.223086811116202 
1212	 0.224183834119222 
1213	 0.225783718134113 
1214	 0.22728475470619 
1215	 0.22924633311307 
1216	 0.230466237480221 
1217	 0.231742928560758 
1218	 0.23242587614962 
1219	 0.232484346286021 
1220	 0.232624239099811 
1221	 0.232066963287432 
1222	 0.23232689406727 
1223	 0.233099374494631 
1224	 0.233493672954752 
1225	 0.234085636046195 
1226	 0.234693936438355 
1227	 0.234979662044005 
1228	 0.235275174266663 
1229	 0.236047540399196 
1230	 0.237471091781381 
1231	 0.23805997963016 
1232	 0.238469443443244 
1233	 0.238949543765563 
1234	 0.239250659877315 
1235	 0.23931265799613 
1236	 0.239585764848314 
1237	 0.239312049663448 
1238	 0.238523006049611 
1239	 0.237646546124084 
1240	 0.236229983848377 
1241	 0.235258912497746 
1242	 0.234121192582692 
1243	 0.233279406184956 
