
Text conversion of header file \h820\optphotolab\Drones\DJI__Mavic_3M\viikki-field_calibration__20240523\reflec_3\DN_gravel__00125.asd
 -------------------------------------------------------------
                                                                                                                                                            
The instrument number was  18875/1
New ASD spectrum file: Program version = 6.04 file version = 7.00
Spectrum saved: 05/23/2024 at 17:17:01
VNIR integration time : 68
VNIR channel 1 wavelength = 350 wavelength step = 1
There was one sample per data value
xmin = 350 xmax= 2500
ymin= 0 ymax= 65535
The instrument digitizes spectral values to 16 bits
SWIR1 gain was 16 offset was 2051
SWIR2 gain was 16 offset was 2074
Join between VNIR and SWIR1 was 1000 nm
Join between SWIR1 and SWIR2 was 1800 nm
VNIR dark signal subtracted
100 dark measurements taken Thu May 23 17:12:29 2024
DCC value was 0
Data is not compared to a white reference
There was no foreoptic attached
Spectrum file is raw data with embedded reference
GPS-Latitude is S0
GPS-Longitude is E0
GPS-Altitude is 0
GPS-UTC is 00:00:00

Smart Detector
Serial#  0
Signal (A)  0.000E00
Dark (A)  0.000E00
Ref (A)  0.000E00
Status  0 - Uninitialized
Gain  E-4
Averaging  0
Temp (C)  0.0
Humid (%)  0.0

Wavelength	reflec_penels3-00125.asd
727	 6819.03758342473 
728	 7124.90799414881 
729	 7424.2146172379 
730	 7754.37968949891 
731	 8158.13858132217 
732	 8682.92017219121 
733	 9301.05527948901 
734	 9927.90918266506 
735	 10389.1688711821 
736	 10725.8280382151 
737	 11010.6982983531 
738	 11322.6706050685 
739	 11611.657706804 
740	 11894.7448188241 
741	 12185.0662475118 
742	 12481.9466819038 
743	 12800.7249514459 
744	 13103.5515198982 
745	 13356.9819782573 
746	 13579.9838037101 
747	 13780.4153283878 
748	 13947.5043068068 
749	 14065.1711087986 
750	 14148.9096411586 
751	 14228.5158394895 
752	 14328.0308253169 
753	 14460.785417598 
754	 14585.1354028533 
755	 14683.2964685502 
756	 14732.8257684461 
757	 14755.1651883951 
758	 14248.6481185394 
759	 12540.0738533316 
760	 9372.94346445051 
761	 6558.4341501538 
762	 5334.5294853239 
763	 5674.14762095976 
764	 6436.07063194949 
765	 7641.072933081 
766	 9271.63612037859 
767	 11133.3148602717 
768	 12688.4528140024 
769	 13762.7354502199 
770	 14384.7944329091 
771	 14700.3783009238 
772	 14864.9417193425 
773	 14945.0774890259 
774	 14978.283759244 
775	 14980.3542764653 
776	 14982.6375240919 
777	 14976.7708645713 
778	 14952.5369568087 
779	 14905.6429355161 
780	 14869.00640271 
781	 14846.0902023242 
782	 14823.6987855354 
783	 14767.054161642 
784	 14696.3204207013 
785	 14620.5018368442 
786	 14537.1436927977 
787	 14413.9971724334 
788	 14244.1150066971 
789	 14048.465724067 
790	 13871.1047513439 
791	 13727.5574720753 
792	 13615.2578794305 
793	 13528.8535841796 
794	 13467.8522916109 
795	 13410.7213098258 
796	 13358.4129467805 
797	 13318.8534293888 
798	 13302.6327816271 
799	 13245.9674157625 
800	 13134.0306081209 
801	 12990.8618545047 
802	 12868.8408877605 
803	 12775.8293296621 
804	 12715.2965328673 
805	 12689.735888374 
806	 12683.5166044756 
807	 12646.1292169215 
808	 12539.0108968613 
809	 12358.217916988 
810	 12139.3892452542 
811	 11869.4322343643 
812	 11513.2472258551 
813	 11021.4427647664 
814	 10434.904346682 
815	 9843.33446897373 
816	 9363.97583594432 
817	 9077.69766207503 
818	 8996.3546280507 
819	 9092.61481528809 
820	 9297.98664948624 
821	 9371.58220259578 
822	 9268.32940775792 
823	 9078.13560703923 
824	 9043.90815989867 
825	 9207.74325719121 
826	 9413.19008757237 
827	 9470.61951864953 
828	 9331.01973335697 
829	 9164.28074527152 
830	 9058.74202236124 
831	 9034.78465141777 
832	 9033.97695840736 
833	 9054.17448840702 
834	 9100.84845858234 
835	 9180.05609297308 
836	 9268.26231659326 
837	 9335.70650976668 
838	 9367.00168214842 
839	 9369.61003499969 
840	 9354.68737112816 
841	 9323.05338330772 
842	 9274.53357245861 
843	 9212.92636557001 
844	 9153.69322102572 
845	 9098.56217016574 
846	 9039.44759470178 
847	 8960.36598101269 
848	 8839.35986918563 
849	 8683.3136325655 
850	 8519.59333644656 
851	 8369.09222734032 
852	 8209.92812729681 
853	 8040.3762341374 
854	 7887.73033238801 
855	 7805.47824462097 
856	 7811.64183356514 
857	 7890.22465254914 
858	 7988.0841566859 
859	 8019.62660625544 
860	 7985.25114993838 
861	 7915.23764632611 
862	 7841.84864974649 
863	 7741.95318915562 
864	 7604.52926841473 
865	 7432.6919857281 
866	 7256.31904826935 
867	 7129.51014415793 
868	 7074.27084578451 
869	 7081.51352310744 
870	 7110.17892165364 
871	 7115.66971810298 
872	 7078.65362795913 
873	 7007.15962579436 
874	 6929.72494966726 
875	 6852.3354824731 
876	 6776.49011881188 
877	 6702.73415440675 
878	 6631.7542451606 
879	 6556.60396402967 
880	 6474.78727278249 
881	 6394.87613699298 
882	 6322.73029783109 
883	 6256.64656313074 
884	 6191.31608145311 
885	 6120.03712910755 
886	 6041.54342835685 
887	 5961.5274488384 
888	 5885.27371462378 
889	 5805.30474213177 
890	 5715.46128477117 
891	 5603.70467970719 
892	 5455.42677708244 
893	 5259.74801339447 
894	 5023.72640961914 
895	 4760.74740009879 
896	 4488.72510986264 
897	 4225.02826521171 
898	 3996.51195996195 
899	 3822.93981170654 
900	 3714.43509687002 
901	 3678.95650064033 
902	 3701.30079548823 
903	 3756.1003590078 
904	 3811.50015935335 
905	 3818.40292911899 
906	 3765.1425687853 
907	 3657.44069686884 
908	 3510.29900832278 
909	 3367.3123583051 
910	 3252.90555724934 
911	 3174.27593863116 
912	 3117.6778253288 
913	 3071.41415382952 
