
 <pre>


 \n INPUT PARAMETERS:\n
 RADIATION SCHEME:            2  streams\n
 w-grid:         461   289.500000       750.500000    
 equally spaced z-grid
 z-grid:          81   0.00000000       80.0000000    
  measurement point: index           1  altitude=   0.00000000    
 idate =     20240623  esfact(1) =   0.967971444    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 lat=   60.2091103      long=   24.9647408      ut=   15.3333330    
 solar zenith angle =    62.1181755    
 \n SPECTRAL IRRADIANCE (W m-2 nm-1):\n
 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 476.91     477.91     4.268E-01  3.048E-01     7.316E-02   7.316E-01
 477.91     478.91     4.241E-01  3.007E-01     7.249E-02   7.249E-01
 478.91     479.91     4.304E-01  3.029E-01     7.333E-02   7.333E-01
 479.91     480.92     4.216E-01  2.946E-01     7.162E-02   7.162E-01
 480.92     481.92     4.309E-01  2.990E-01     7.299E-02   7.299E-01
 481.92     482.92     4.308E-01  2.968E-01     7.276E-02   7.276E-01
 482.92     483.92     4.269E-01  2.920E-01     7.189E-02   7.189E-01
 483.92     484.92     4.178E-01  2.838E-01     7.017E-02   7.017E-01
 484.92     485.93     4.018E-01  2.711E-01     6.729E-02   6.729E-01
 485.93     486.93     3.334E-01  2.234E-01     5.568E-02   5.568E-01
 486.93     487.93     3.927E-01  2.613E-01     6.540E-02   6.540E-01
 487.93     488.93     4.151E-01  2.743E-01     6.894E-02   6.894E-01
 488.93     489.93     4.180E-01  2.744E-01     6.924E-02   6.924E-01
 489.93     490.94     4.402E-01  2.870E-01     7.272E-02   7.272E-01
 490.94     491.94     4.298E-01  2.783E-01     7.081E-02   7.081E-01
 491.94     492.94     3.935E-01  2.531E-01     6.466E-02   6.466E-01
 492.94     493.94     4.329E-01  2.766E-01     7.096E-02   7.096E-01
 493.94     494.95     4.328E-01  2.747E-01     7.075E-02   7.075E-01
 494.95     495.95     4.258E-01  2.685E-01     6.943E-02   6.943E-01
 495.95     496.95     4.476E-01  2.803E-01     7.279E-02   7.279E-01
 496.95     497.95     4.448E-01  2.768E-01     7.216E-02   7.216E-01
 497.95     498.95     4.082E-01  2.523E-01     6.606E-02   6.606E-01
 498.95     499.96     4.374E-01  2.686E-01     7.060E-02   7.060E-01
 499.96     500.96     4.050E-01  2.471E-01     6.521E-02   6.521E-01
 500.96     501.96     4.102E-01  2.486E-01     6.588E-02   6.588E-01
 501.96     502.96     4.112E-01  2.476E-01     6.588E-02   6.588E-01
 502.96     503.97     4.364E-01  2.611E-01     6.975E-02   6.975E-01
 503.97     504.97     4.148E-01  2.466E-01     6.614E-02   6.614E-01
 504.97     505.97     4.283E-01  2.530E-01     6.814E-02   6.814E-01
 505.97     506.97     4.414E-01  2.591E-01     7.005E-02   7.005E-01
 506.97     507.97     4.323E-01  2.522E-01     6.845E-02   6.845E-01
 507.97     508.98     4.138E-01  2.399E-01     6.537E-02   6.537E-01
 508.98     509.98     4.412E-01  2.543E-01     6.955E-02   6.955E-01
 509.98     510.98     4.201E-01  2.407E-01     6.608E-02   6.608E-01
 510.98     511.98     4.407E-01  2.510E-01     6.917E-02   6.917E-01
 511.98     512.98     4.269E-01  2.416E-01     6.685E-02   6.685E-01
 512.98     513.99     4.254E-01  2.393E-01     6.647E-02   6.647E-01
 513.99     514.99     4.071E-01  2.276E-01     6.348E-02   6.348E-01
 514.99     515.99     4.321E-01  2.401E-01     6.722E-02   6.722E-01
 515.99     516.99     3.921E-01  2.166E-01     6.086E-02   6.086E-01
 516.99     518.00     3.781E-01  2.076E-01     5.858E-02   5.858E-01
 518.00     519.00     3.837E-01  2.095E-01     5.931E-02   5.931E-01
 519.00     520.00     4.142E-01  2.248E-01     6.391E-02   6.391E-01
 520.00     521.00     4.241E-01  2.288E-01     6.529E-02   6.529E-01
 521.00     522.00     4.332E-01  2.324E-01     6.656E-02   6.656E-01
 522.00     523.01     4.259E-01  2.271E-01     6.530E-02   6.530E-01
 523.01     524.01     4.349E-01  2.305E-01     6.654E-02   6.654E-01
 524.01     525.01     4.531E-01  2.388E-01     6.919E-02   6.919E-01
 525.01     526.01     4.446E-01  2.330E-01     6.776E-02   6.776E-01
 526.01     527.02     4.084E-01  2.128E-01     6.212E-02   6.212E-01
 527.02     528.02     4.060E-01  2.103E-01     6.162E-02   6.162E-01
 528.02     529.02     4.408E-01  2.270E-01     6.678E-02   6.678E-01
 529.02     530.02     4.486E-01  2.297E-01     6.784E-02   6.784E-01
 530.02     531.02     4.542E-01  2.312E-01     6.854E-02   6.854E-01
 531.02     532.03     4.610E-01  2.334E-01     6.944E-02   6.944E-01
 532.03     533.03     4.209E-01  2.119E-01     6.329E-02   6.329E-01
 533.03     534.03     4.509E-01  2.258E-01     6.766E-02   6.766E-01
 534.03     535.03     4.382E-01  2.182E-01     6.565E-02   6.565E-01
 535.03     536.03     4.616E-01  2.286E-01     6.902E-02   6.902E-01
 536.03     537.04     4.488E-01  2.211E-01     6.699E-02   6.699E-01
 537.04     538.04     4.407E-01  2.159E-01     6.566E-02   6.566E-01
 538.04     539.04     4.544E-01  2.215E-01     6.759E-02   6.759E-01
 539.04     540.04     4.342E-01  2.105E-01     6.446E-02   6.446E-01
 540.04     541.05     4.315E-01  2.080E-01     6.395E-02   6.395E-01
 541.05     542.05     4.431E-01  2.125E-01     6.556E-02   6.556E-01
 542.05     543.05     4.547E-01  2.169E-01     6.716E-02   6.716E-01
 543.05     544.05     4.394E-01  2.085E-01     6.479E-02   6.479E-01
 544.05     545.05     4.551E-01  2.148E-01     6.699E-02   6.699E-01
 545.05     546.06     4.621E-01  2.169E-01     6.790E-02   6.790E-01
 546.06     547.06     4.590E-01  2.144E-01     6.734E-02   6.734E-01
 547.06     548.06     4.486E-01  2.084E-01     6.570E-02   6.570E-01
 548.06     549.06     4.589E-01  2.121E-01     6.710E-02   6.710E-01
 549.06     550.07     4.657E-01  2.142E-01     6.798E-02   6.798E-01
 550.07     551.07     4.627E-01  2.103E-01     6.730E-02   6.730E-01
 551.07     552.07     4.622E-01  2.090E-01     6.712E-02   6.712E-01
 552.07     553.07     4.566E-01  2.054E-01     6.620E-02   6.620E-01
 553.07     554.07     4.664E-01  2.088E-01     6.752E-02   6.752E-01
 554.07     555.08     4.696E-01  2.092E-01     6.788E-02   6.788E-01
 555.08     556.08     4.695E-01  2.081E-01     6.776E-02   6.776E-01
 556.08     557.08     4.583E-01  2.021E-01     6.604E-02   6.604E-01
 557.08     558.08     4.494E-01  1.972E-01     6.465E-02   6.465E-01
 558.08     559.08     4.426E-01  1.932E-01     6.358E-02   6.358E-01
 559.08     560.09     4.444E-01  1.930E-01     6.374E-02   6.374E-01
 560.09     561.09     4.540E-01  1.962E-01     6.503E-02   6.503E-01
 561.09     562.09     4.501E-01  1.936E-01     6.437E-02   6.437E-01
 562.09     563.09     4.530E-01  1.939E-01     6.469E-02   6.469E-01
 563.09     564.10     4.578E-01  1.950E-01     6.528E-02   6.528E-01
 564.10     565.10     4.589E-01  1.945E-01     6.533E-02   6.533E-01
 565.10     566.10     4.412E-01  1.861E-01     6.273E-02   6.273E-01
 566.10     567.10     4.518E-01  1.896E-01     6.414E-02   6.414E-01
 567.10     568.10     4.642E-01  1.939E-01     6.580E-02   6.580E-01
 568.10     569.11     4.473E-01  1.860E-01     6.333E-02   6.332E-01
 569.11     570.11     4.603E-01  1.904E-01     6.507E-02   6.507E-01
 570.11     571.11     4.415E-01  1.818E-01     6.233E-02   6.233E-01
 571.11     572.11     4.480E-01  1.836E-01     6.316E-02   6.316E-01
 572.11     573.12     4.693E-01  1.915E-01     6.608E-02   6.608E-01
 573.12     574.12     4.666E-01  1.895E-01     6.560E-02   6.560E-01
 574.12     575.12     4.643E-01  1.877E-01     6.520E-02   6.520E-01
 575.12     576.12     4.566E-01  1.837E-01     6.403E-02   6.403E-01
 576.12     577.12     4.610E-01  1.847E-01     6.456E-02   6.456E-01
 577.12     578.13     4.651E-01  1.855E-01     6.506E-02   6.506E-01
 578.13     579.13     4.475E-01  1.777E-01     6.252E-02   6.252E-01
 579.13     580.13     4.590E-01  1.814E-01     6.404E-02   6.404E-01
 580.13     581.13     4.620E-01  1.818E-01     6.438E-02   6.438E-01
 581.13     582.13     4.654E-01  1.824E-01     6.477E-02   6.477E-01
 582.13     583.14     4.716E-01  1.840E-01     6.556E-02   6.556E-01
 583.14     584.14     4.685E-01  1.820E-01     6.505E-02   6.505E-01
 584.14     585.14     4.702E-01  1.818E-01     6.520E-02   6.520E-01
 585.14     586.14     4.521E-01  1.741E-01     6.262E-02   6.262E-01
 586.14     587.15     4.642E-01  1.780E-01     6.422E-02   6.422E-01
 587.15     588.15     4.709E-01  1.798E-01     6.506E-02   6.506E-01
 588.15     589.15     4.518E-01  1.717E-01     6.235E-02   6.235E-01
 589.15     590.15     4.112E-01  1.556E-01     5.669E-02   5.669E-01
 590.15     591.15     4.670E-01  1.760E-01     6.430E-02   6.430E-01
 591.15     592.16     4.618E-01  1.733E-01     6.351E-02   6.351E-01
 592.16     593.16     4.665E-01  1.743E-01     6.408E-02   6.408E-01
 593.16     594.16     4.623E-01  1.719E-01     6.342E-02   6.342E-01
 594.16     595.16     4.611E-01  1.708E-01     6.319E-02   6.319E-01
 595.16     596.17     4.599E-01  1.696E-01     6.295E-02   6.295E-01
 596.17     597.17     4.657E-01  1.710E-01     6.367E-02   6.367E-01
 597.17     598.17     4.601E-01  1.682E-01     6.283E-02   6.283E-01
 598.17     599.17     4.537E-01  1.651E-01     6.188E-02   6.188E-01
 599.17     600.17     4.582E-01  1.661E-01     6.243E-02   6.243E-01
 600.17     601.18     4.505E-01  1.626E-01     6.131E-02   6.131E-01
 601.18     602.18     4.506E-01  1.620E-01     6.126E-02   6.126E-01
 602.18     603.18     4.473E-01  1.601E-01     6.075E-02   6.075E-01
 603.18     604.18     4.639E-01  1.654E-01     6.293E-02   6.293E-01
 604.18     605.18     4.620E-01  1.640E-01     6.260E-02   6.260E-01
 605.18     606.19     4.605E-01  1.629E-01     6.233E-02   6.233E-01
