 
 
 
 INPUT PARAMETERS:

 RADIATION SCHEME:             4  streams

 w-grid:          561    280.0000        420.0000    
 equally spaced z-grid
 z-grid:           81    0.000000        80.00000    
  measurement point: index            1  altitude=    0.000000    
 idate =      20150630  esfact(1) =     1.000000    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 solar zenith angle =     30.00000    
 
 SPECTRAL IRRADIANCE (W m-2 nm-1):

 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 342.50     342.75     2.671E-01  3.681E-01     6.352E-02   6.352E-01
 342.75     343.00     2.320E-01  3.185E-01     5.505E-02   5.505E-01
 343.00     343.25     3.247E-01  4.444E-01     7.691E-02   7.691E-01
 343.25     343.50     2.101E-01  2.865E-01     4.966E-02   4.966E-01
 343.50     343.75     2.989E-01  4.063E-01     7.052E-02   7.052E-01
 343.75     344.00     2.397E-01  3.247E-01     5.644E-02   5.644E-01
 344.00     344.25     1.542E-01  2.080E-01     3.623E-02   3.623E-01
 344.25     344.50     1.573E-01  2.116E-01     3.689E-02   3.689E-01
 344.50     344.75     2.008E-01  2.694E-01     4.702E-02   4.702E-01
 344.75     345.00     2.465E-01  3.297E-01     5.762E-02   5.762E-01
 345.00     345.25     2.905E-01  3.875E-01     6.780E-02   6.780E-01
 345.25     345.50     2.198E-01  2.921E-01     5.119E-02   5.119E-01
 345.50     345.75     2.966E-01  3.929E-01     6.896E-02   6.896E-01
 345.75     346.00     2.347E-01  3.099E-01     5.446E-02   5.446E-01
 346.00     346.25     2.127E-01  2.800E-01     4.928E-02   4.928E-01
 346.25     346.50     2.438E-01  3.200E-01     5.638E-02   5.638E-01
 346.50     346.75     2.445E-01  3.199E-01     5.644E-02   5.644E-01
 346.75     347.00     2.851E-01  3.718E-01     6.569E-02   6.569E-01
 347.00     347.25     2.973E-01  3.866E-01     6.840E-02   6.840E-01
 347.25     347.50     2.472E-01  3.204E-01     5.677E-02   5.677E-01
 347.50     347.75     1.954E-01  2.525E-01     4.479E-02   4.479E-01
 347.75     348.00     2.297E-01  2.959E-01     5.256E-02   5.256E-01
 348.00     348.25     2.793E-01  3.588E-01     6.381E-02   6.381E-01
 348.25     348.50     2.413E-01  3.090E-01     5.503E-02   5.503E-01
 348.50     348.75     2.497E-01  3.188E-01     5.686E-02   5.686E-01
 348.75     349.00     3.033E-01  3.860E-01     6.893E-02   6.893E-01
 349.00     349.25     1.940E-01  2.461E-01     4.401E-02   4.401E-01
 349.25     349.50     2.332E-01  2.950E-01     5.282E-02   5.282E-01
 349.50     349.75     2.619E-01  3.302E-01     5.922E-02   5.922E-01
 349.75     350.00     2.169E-01  2.727E-01     4.896E-02   4.896E-01
 350.00     350.25     3.310E-01  4.149E-01     7.459E-02   7.459E-01
 350.25     350.50     3.355E-01  4.192E-01     7.547E-02   7.547E-01
 350.50     350.75     2.937E-01  3.659E-01     6.595E-02   6.595E-01
 350.75     351.00     3.167E-01  3.934E-01     7.101E-02   7.101E-01
 351.00     351.25     2.732E-01  3.383E-01     6.115E-02   6.115E-01
 351.25     351.50     2.460E-01  3.036E-01     5.496E-02   5.496E-01
 351.50     351.75     2.518E-01  3.099E-01     5.617E-02   5.617E-01
 351.75     352.00     3.372E-01  4.138E-01     7.510E-02   7.510E-01
 352.00     352.25     2.865E-01  3.506E-01     6.372E-02   6.372E-01
 352.25     352.50     2.661E-01  3.247E-01     5.908E-02   5.908E-01
 352.50     352.75     1.746E-01  2.124E-01     3.870E-02   3.870E-01
 352.75     353.00     2.783E-01  3.375E-01     6.159E-02   6.159E-01
 353.00     353.25     3.177E-01  3.842E-01     7.020E-02   7.020E-01
 353.25     353.50     2.623E-01  3.162E-01     5.785E-02   5.785E-01
 353.50     353.75     3.393E-01  4.079E-01     7.471E-02   7.471E-01
 353.75     354.00     2.993E-01  3.588E-01     6.580E-02   6.580E-01
 354.00     354.25     3.416E-01  4.084E-01     7.500E-02   7.500E-01
