 
 
 
 INPUT PARAMETERS:

 RADIATION SCHEME:             4  streams

 w-grid:          561    280.0000        420.0000    
 equally spaced z-grid
 z-grid:           81    0.000000        80.00000    
  measurement point: index            1  altitude=    0.000000    
 idate =      20150630  esfact(1) =     1.000000    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 solar zenith angle =     75.00000    
 
 SPECTRAL IRRADIANCE (W m-2 nm-1):

 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 333.75     334.00     2.577E-03  8.338E-02     8.595E-03   8.595E-02
 334.00     334.25     3.023E-03  9.695E-02     9.997E-03   9.997E-02
 334.25     334.50     2.851E-03  9.063E-02     9.348E-03   9.348E-02
 334.50     334.75     3.514E-03  1.107E-01     1.142E-02   1.142E-01
 334.75     335.00     3.175E-03  9.910E-02     1.023E-02   1.023E-01
 335.00     335.25     2.806E-03  8.677E-02     8.958E-03   8.958E-02
 335.25     335.50     3.519E-03  1.079E-01     1.114E-02   1.114E-01
 335.50     335.75     3.737E-03  1.135E-01     1.172E-02   1.172E-01
 335.75     336.00     3.380E-03  1.017E-01     1.051E-02   1.051E-01
 336.00     336.25     1.592E-03  4.746E-02     4.905E-03   4.905E-02
 336.25     336.50     2.835E-03  8.371E-02     8.655E-03   8.655E-02
 336.50     336.75     3.667E-03  1.073E-01     1.109E-02   1.109E-01
 336.75     337.00     2.746E-03  7.962E-02     8.236E-03   8.236E-02
 337.00     337.25     2.370E-03  6.805E-02     7.042E-03   7.042E-02
 337.25     337.50     2.562E-03  7.288E-02     7.544E-03   7.544E-02
 337.50     337.75     3.524E-03  9.938E-02     1.029E-02   1.029E-01
 337.75     338.00     3.776E-03  1.056E-01     1.094E-02   1.094E-01
 338.00     338.25     2.472E-03  6.854E-02     7.101E-03   7.101E-02
 338.25     338.50     3.499E-03  9.615E-02     9.965E-03   9.965E-02
 338.50     338.75     4.030E-03  1.098E-01     1.138E-02   1.138E-01
 338.75     339.00     3.595E-03  9.709E-02     1.007E-02   1.007E-01
 339.00     339.25     4.132E-03  1.106E-01     1.147E-02   1.147E-01
 339.25     339.50     2.987E-03  7.925E-02     8.224E-03   8.224E-02
 339.50     339.75     3.724E-03  9.795E-02     1.017E-02   1.017E-01
 339.75     340.00     4.475E-03  1.167E-01     1.211E-02   1.211E-01
 340.00     340.25     4.778E-03  1.234E-01     1.282E-02   1.282E-01
 340.25     340.50     4.246E-03  1.087E-01     1.130E-02   1.130E-01
 340.50     340.75     4.068E-03  1.033E-01     1.074E-02   1.074E-01
 340.75     341.00     3.720E-03  9.370E-02     9.742E-03   9.742E-02
 341.00     341.25     4.023E-03  1.005E-01     1.045E-02   1.045E-01
 341.25     341.50     3.946E-03  9.772E-02     1.017E-02   1.017E-01
 341.50     341.75     3.474E-03  8.532E-02     8.879E-03   8.879E-02
 341.75     342.00     4.163E-03  1.014E-01     1.055E-02   1.055E-01
 342.00     342.25     5.075E-03  1.225E-01     1.276E-02   1.276E-01
 342.25     342.50     4.052E-03  9.702E-02     1.011E-02   1.011E-01
 342.50     342.75     4.680E-03  1.111E-01     1.158E-02   1.158E-01
 342.75     343.00     4.088E-03  9.626E-02     1.003E-02   1.003E-01
 343.00     343.25     5.752E-03  1.343E-01     1.401E-02   1.401E-01
 343.25     343.50     3.742E-03  8.665E-02     9.039E-03   9.039E-02
 343.50     343.75     5.357E-03  1.230E-01     1.284E-02   1.284E-01
 343.75     344.00     4.307E-03  9.809E-02     1.024E-02   1.024E-01
 344.00     344.25     2.777E-03  6.271E-02     6.549E-03   6.549E-02
 344.25     344.50     2.858E-03  6.402E-02     6.688E-03   6.688E-02
 344.50     344.75     3.681E-03  8.181E-02     8.549E-03   8.549E-02
 344.75     345.00     4.556E-03  1.005E-01     1.050E-02   1.050E-01
 345.00     345.25     5.421E-03  1.186E-01     1.240E-02   1.240E-01
 345.25     345.50     4.107E-03  8.910E-02     9.321E-03   9.321E-02
 345.50     345.75     5.574E-03  1.199E-01     1.255E-02   1.255E-01
 345.75     346.00     4.436E-03  9.469E-02     9.913E-03   9.913E-02
 346.00     346.25     4.050E-03  8.577E-02     8.982E-03   8.982E-02
 346.25     346.50     4.673E-03  9.819E-02     1.029E-02   1.029E-01
 346.50     346.75     4.716E-03  9.831E-02     1.030E-02   1.030E-01
 346.75     347.00     5.535E-03  1.145E-01     1.200E-02   1.200E-01
 347.00     347.25     5.806E-03  1.191E-01     1.250E-02   1.250E-01
 347.25     347.50     4.854E-03  9.883E-02     1.037E-02   1.037E-01
 347.50     347.75     3.862E-03  7.803E-02     8.189E-03   8.189E-02
 347.75     348.00     4.570E-03  9.163E-02     9.620E-03   9.620E-02
 348.00     348.25     5.594E-03  1.113E-01     1.169E-02   1.169E-01
 348.25     348.50     4.864E-03  9.602E-02     1.009E-02   1.009E-01
